PLAYER_MATCH,TIME,METHOD,PLACE,PLAY,PLAYER_MATCH_GOAL
502041,5,L,O,O,10763
502056,32,L,P,I,10764
502061,61,R,G,O,10765
502075,1,H,G,I,10766
502075,5,R,P,O,10767
502053,16,R,P,T,10768
502092,45,R,P,O,10769
502093,20,R,G,O,10770
502104,64,H,P,C,10771
502105,55,R,P,O,10772
502107,73,L,P,O,10773
502107,7,R,O,D,10774
502123,50,L,P,O,10775
502122,7,H,P,O,10776
502122,4,L,G,O,10777
502169,78,R,G,T,10778
502152,50,L,P,O,10779
502177,50,R,G,C,10780
502212,86,H,P,I,10781
502232,59,H,P,O,10782
502243,45,H,G,C,10783
502304,72,R,G,O,10784
502333,69,H,P,O,10785
502310,50,R,P,O,10786
502310,62,R,G,O,10787
502316,24,H,G,O,10788
502353,71,H,P,O,10822
502347,63,R,P,P,10823
502380,62,L,P,O,10824
502391,68,L,P,O,10825
502429,9,R,P,O,10826
502412,3,H,P,O,10827
502424,45,R,O,D,10828
502428,63,R,P,O,10829
502457,23,R,P,O,10830
502446,26,H,P,O,10831
502447,12,R,P,I,10832
502476,89,L,P,I,10833
502471,85,R,O,O,10834
502472,5,R,O,O,10835
502475,45,R,O,O,10836
502493,53,L,P,O,10837
502509,56,R,G,O,10838
502525,65,L,O,O,10839
502526,53,R,P,O,10840
502508,79,R,P,T,10841
502541,27,H,G,O,10842
502580,8,H,G,I,10843
502570,40,H,G,I,10844
502572,45,L,G,O,10845
502620,58,R,P,O,10846
502596,81,H,P,C,10847
502607,12,H,P,C,10848
502633,60,L,P,O,10849
502637,87,L,P,O,10850
502642,44,H,P,O,10851
502653,1,R,O,O,10852
502669,36,R,G,O,10853
502703,90,R,P,O,10855
502704,51,R,G,O,10856
502704,87,R,P,O,10857
502718,88,R,P,O,10858
502702,60,R,P,O,10859
502702,45,R,P,C,10860
502732,6,H,P,O,10861
502749,45,L,P,O,10862
502767,79,H,G,O,10863
502778,67,R,P,O,10864
502779,87,R,O,O,10865
502783,47,R,P,O,10866
502846,46,L,P,O,10867
502830,8,L,G,C,10868
502865,45,R,P,P,10869
502876,49,R,P,O,10870
502860,81,R,P,O,10871
502895,38,L,P,O,10872
502905,73,R,P,I,10873
502927,67,R,P,O,10874
502940,15,R,O,O,10875
502960,5,H,P,O,10876
502969,8,R,P,O,10877
503008,8,L,P,O,10878
502987,88,H,P,P,10879
503007,42,R,P,O,10880
503042,84,R,P,O,10881
503040,15,L,P,O,10882
503040,39,H,P,C,10883
503040,64,H,G,I,10884
503050,79,R,O,D,10885
503105,14,R,P,O,10886
503120,68,H,P,C,10887
503133,33,H,P,O,10888
503136,43,R,P,O,10889
503138,90,L,O,O,10890
503162,85,R,P,O,10891
503234,21,R,P,O,10892
503233,75,L,P,O,10893
503233,14,L,G,O,10894
503216,31,H,G,C,10895
503216,39,L,P,O,10896
503245,31,L,P,T,10897
503247,2,L,P,O,10898
503295,10,R,G,O,10899
503330,57,R,P,O,10900
503357,66,L,O,D,10901
503362,43,H,P,I,10902
503410,78,R,P,O,10903
503396,17,R,P,C,10904
503406,67,H,G,I,10905
503409,69,R,G,T,10906
503442,80,H,P,I,10907
503425,40,R,G,O,10908
503456,43,L,P,O,10909
503484,28,L,P,P,10910
503501,11,R,P,O,10911
503502,44,R,O,I,10912
503554,24,H,P,C,10913
503554,68,H,G,C,10914
